study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_test,num_older_wom,num_hpv_pos,num_hr_hpv_pos,hpv_type,num_type,type_prev,notes
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening ,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,52,66.85,0.011691151,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,53,31.1,0.005438965,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,56,43.6,0.007625044,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,58,18.22,0.003186429,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,59,16.08,0.002812172,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,66,45.74,0.0079993,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,68,38.95,0.006811822,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
58OHG,"Kobetz et al., 2012","Burden of Human Papillomavirus among Haitian Immigrants in Miami, Florida: Community-Based Participatory Research in Action",cross-sectional ,2008,Americas,North America,USA,"Little Haiti, Miami",Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV, 16/18",PCR L1 or E1,54,10,5,16/18,0,0,"Figure 2 for age specific prevalence of HPV by overall point prevalence, HR and types 16/18"
52HG,"Laowahutanont et al., 2014","Prevalence of High Risk Human Papillomavirus Infection with Different Cervical Cytological Features among Women
Undergoing Health Examination at the National Cancer Institute, Thailand",cross-sectional ,2011,Asia ,Southeastern asia,Thailand,NA,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18 ",other PCR,33,NA,4,16,1,0.03030303,"Table 1 for HPV prevalence by age group 60 +  Hr-HPV+, type 16 and type 18"
52HG,"Laowahutanont et al., 2014","Prevalence of High Risk Human Papillomavirus Infection with Different Cervical Cytological Features among Women
Undergoing Health Examination at the National Cancer Institute, Thailand",cross-sectional ,2011,Asia ,Southeastern asia,Thailand,NA,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18 ",other PCR,33,NA,4,18,1,0.03030303,"Table 1 for HPV prevalence by age group 60 +  Hr-HPV+, type 16 and type 18"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,16,4995,0.264145955,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,18,1340.6,0.070893707,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,31,615.6,0.032554204,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,33,469.38,0.024821787,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,35,695.75,0.036792702,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,39,242.7,0.012834479,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,45,434.4,0.022971973,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,51,758.2,0.040095188,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,52,5054.5,0.267292438,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,56,1133,0.059915389,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,58,2097,0.110893707,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,59,175.2,0.009264939,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",PGMY09/11,18910,6199,2836,68,896.3,0.047398202,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50-59, 60-69, 70-79), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,16,52.4,0.003573621,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,18,14.9,0.001016163,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,31,36.2,0.002468799,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,33,18.02,0.001228944,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,35,18.02,0.001228944,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,39,18.02,0.001228944,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,45,24.03,0.001638819,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,51,18.02,0.001228944,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,52,30.2,0.002059606,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,56,18.33,0.001250085,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,58,24.1,0.001643593,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,59,9.22,0.000628794,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68",HC2,14663,713,321,68,30.88,0.002105981,"Figure 2 for distribution of HR-HPV genotypes by age group, summed prevalence rate for each genotype and age group. Results from table 1 by % prevalence for genotype  x N of age group (50, 55, 60, 65), and then summed"
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,16,43.3,0.156884058,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,18,13.6,0.049275362,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,31,13.6,0.049275362,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,33,8.03,0.029094203,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,35,8.03,0.029094203,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,39,24.28,0.087971014,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,45,2.59,0.009384058,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,51,16.25,0.058876812,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,52,56.8,0.205797101,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,56,29.7,0.107608696,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,58,21.6,0.07826087,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,59,16.25,0.058876812,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,66,5.6,0.020289855,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,68,13.6,0.049275362,Figure 3 distribution fo HPV genotypes by age
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting ,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",other PCR,276,NA,80,82,2.6,0.00942029,Figure 3 distribution fo HPV genotypes by age
54HG,"Li et al., 2006","Human papillomavirus infection in Shenyang City, People’s Republic of China: a population-based study",cross-sectional ,2005,Asia,Eastern Asia,China,Shenyang,Both,Predominantly normal ,LBC,general population," HR-HPV, 16/18",GP5+/GP6+,93,NA,5,16/18,0.957,0.010290323,Figure 1 distribution of HPV genotypes by age
66OHGP,"Marais et al., 2008",Cervical human papillomavirus (HPV) infection and HPV type 16 antibodies in South African women,case control ,2006,Africa,Southern Africa,South Africa,Cape Town,Both,Predominantly normal ,conventional,controls,"overall, HR-HPV, 16",other PCR,NA,NA,NA,16,NA,0.0233,"% prevalence of HPV 16 by age group reported in Figure 1,  however the N for each age group was not provided"
67OHG,"Moore et al., 2009","Prevalence and type distribution of human papillomavirus
in 5,000 British Columbia women—implications for vaccination",cross-sectional ,2004,Americas,North America,Canada,British Columbia,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16,18, 16/18",GP5+/GP6+,1138,132,116,16/18,108,0.094923692, study sample by age  in table 4; and plot digitizer on figure 2a for HPV 16/18 by age group 
67OHG,"Moore et al., 2009","Prevalence and type distribution of human papillomavirus
in 5,000 British Columbia women—implications for vaccination",cross-sectional ,2004,Americas,North America,Canada,British Columbia,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16,18, 16/18",GP5+/GP6+,1138,132,116,16,102.4,0.090001723, study sample by age  in table 4; and plot digitizer on figure 2b for HPV 16  by age group 
67OHG,"Moore et al., 2009","Prevalence and type distribution of human papillomavirus
in 5,000 British Columbia women—implications for vaccination",cross-sectional ,2004,Americas,North America,Canada,British Columbia,Both,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16,18, 16/18",GP5+/GP6+,1138,132,116,18,30.7,0.026982938, study sample by age  in table 4; and plot digitizer on figure 2b for HPV 18  by age group 
